PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Jaromír Jágr,-,35,RW,Left,WSH,Standard (1-way),29,,7,UFA,2009,"$7,920,000","$7,920,000","$8,360,000","$8,360,000",$0,$0
Brad Richards,-,27,"C, LW",Left,TBL,Standard (1-way),26,NTC,5,UFA,2011,"$7,800,000","$7,800,000","$7,800,000","$7,800,000",$0,$0
Nicklas Lidström,-,37,D,Left,DET,35+ (1-way),36,NMC,2,UFA,2008,"$7,600,000","$7,600,000","$7,600,000","$7,600,000",$0,$0
Zdeno Chara,-,30,LD,Left,BOS,Standard (1-way),29,NTC,5,UFA,2011,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0
Scott Gomez,-,27,C,Left,NYR,Standard (1-way),27,,7,UFA,2014,"$7,357,143","$7,357,143","$10,000,000","$10,000,000",$0,$0
Thomas Vanek,-,23,"LW, RW",Right,BUF,Standard (1-way),23,,7,UFA,2014,"$7,142,857","$7,142,857","$10,000,000","$10,000,000",$0,$0
Chris Drury,-,30,C,Right,NYR,Standard (1-way),30,,5,UFA,2012,"$7,050,000","$7,050,000","$7,100,000","$7,100,000",$0,$0
Jarome Iginla,-,30,RW,Right,CGY,Standard (1-way),28,,3,UFA,2008,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
Vincent Lecavalier,-,27,"C, LW",Left,TBL,Standard (1-way),25,,4,UFA,2009,"$6,875,000","$6,875,000","$7,166,666","$7,166,666",$0,$0
Nikolai Khabibulin,-,34,G,Left,CHI,Standard (1-way),32,,4,UFA,2009,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0
Scott Niedermayer,-,33,D,Left,ANA,Standard (1-way),31,,4,UFA,2009,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0
Roberto Luongo,-,28,G,Left,VAN,Standard (1-way),27,,4,UFA,2010,"$6,750,000","$6,750,000","$6,500,000","$6,500,000",$0,$0
Joe Sakic,-,37,C,Left,COL,35+ (1-way),37,,1,UFA,2008,"$6,750,000","$6,750,000","$6,750,000","$6,750,000",$0,$0
Pavel Datsyuk,-,28,"C, LW",Left,DET,Standard (1-way),28,NMC,7,UFA,2014,"$6,700,000","$6,700,000","$6,700,000","$6,700,000",$0,$0
